document,title,body,jurisdiction,region,type,version,date,current,changes,sourceUrl,archiveUrl,url
us-cacd-spaeth-2026-ai-declaration,Important Notice: Artificial Intelligence,Central District of California (Judge Spaeth),us-federal,California,standing-order,As posted (undated),2026-09-06,true,,https://apps.cacd.uscourts.gov/Jps/#/judge/1d7ad7ef-589f-4c4a-3eda-08ddece20de6/ads,,https://safelegalai.com/regulation/us-federal/us-cacd-spaeth-2026-ai-declaration
us-cacd-viramontes-2026-ai-sanctions,Important Notice: Artificial Intelligence,Central District of California (Judge Viramontes),us-federal,California,standing-order,As posted (undated),2026-09-06,true,,https://apps.cacd.uscourts.gov/Jps/#/judge/ad05fcf4-7d99-4dad-3739-08de58702db8/accv,,https://safelegalai.com/regulation/us-federal/us-cacd-viramontes-2026-ai-sanctions
us-cacd-walter-2026-ai-order,Order Re: Artificial Intelligence,Central District of California (Judge Walter),us-federal,California,standing-order,As posted (undated),2026-09-06,true,,https://apps.cacd.uscourts.gov/Jps/#/judge/a9e85fb5-8f88-408d-3ec1-08ddece20de6/jfw,,https://safelegalai.com/regulation/us-federal/us-cacd-walter-2026-ai-order
us-cacd-wright-2026-ai-certificate,Judge’s Procedures: Artificial Intelligence,Central District of California (Judge II),us-federal,California,standing-order,As posted (undated),2026-09-06,true,,https://apps.cacd.uscourts.gov/Jps/#/judge/99da3dfe-00c8-4e85-3ec3-08ddece20de6/odw,,https://safelegalai.com/regulation/us-federal/us-cacd-wright-2026-ai-certificate
us-cand-court-2026-prose-ai-tools,Using AI Tools in Your Case,Northern District of California,us-federal,California,guidance,As posted (undated),2026-09-06,true,,https://www.cand.uscourts.gov/representing-yourself/tips-pro-se-filers/using-ai-tools-your-case,,https://safelegalai.com/regulation/us-federal/us-cand-court-2026-prose-ai-tools
us-cod-braswell-2025-ai-guidance,Guidance on Responsible AI Use in Court Proceedings,District of Colorado (Judge Braswell),us-federal,Colorado,practice-direction,As posted (undated),2026-09-06,true,,https://www.cod.uscourts.gov/Portals/0/Documents/Judges/MDB/MDB_AI_Guidance.pdf,,https://safelegalai.com/regulation/us-federal/us-cod-braswell-2025-ai-guidance
us-cod-wang-2025-ai-certification,Standing Order Regarding the Use of Generative Artificial Intelligence in Court Filings,District of Colorado (Judge Wang),us-federal,Colorado,standing-order,As posted (undated),2026-09-06,true,,https://www.cod.uscourts.gov/Portals/0/Documents/Judges/NYW/NYW_Standing_Order_Regarding_AI_Certification.pdf,,https://safelegalai.com/regulation/us-federal/us-cod-wang-2025-ai-certification
us-hid-kobayashi-undated-generative-ai,Disclosure and Certification Requirements – Generative Artificial Intelligence,District of Hawaii (Judge Kobayashi),us-federal,Hawaii,standing-order,As posted (undated),2026-09-06,true,,https://www.hid.uscourts.gov/cms/assets/95f11dcf-7411-42d2-9ac2-92b2424519f6/AI%20Guidelines%20LEK.pdf,,https://safelegalai.com/regulation/us-federal/us-hid-kobayashi-undated-generative-ai
us-iasd-court-2026-ai-litigation-faq,Artificial Intelligence (AI),Southern District of Iowa,us-federal,Iowa,guidance,As posted (undated),2026-09-06,true,,https://www.iasd.uscourts.gov/artificial-intelligence-ai,,https://safelegalai.com/regulation/us-federal/us-iasd-court-2026-ai-litigation-faq
us-il-cook-cleary-2024-ai-verification,Standing Order – Jury Trials,"Circuit Court of Cook County, Law Division, Trial Section (Judge Cleary)",us-state,Illinois,standing-order,As posted (undated),2026-09-06,true,,https://ocj-web-files.s3.us-east-2.amazonaws.com/orders/2024-02-14%20-%20Law%20-%20Cleary%20-%20Standing%20Order%20-%20Jury%20Trials_1.pdf?VersionId=52.h8FUkpiXjregHJvFdSuOJhYBlw9KZ,,https://safelegalai.com/regulation/us-state/us-il-cook-cleary-2024-ai-verification
us-il-cook-golden-2024-courtroom-2309-ai-verification,Standing Order for Courtroom 2309,"Circuit Court of Cook County, Law Division, Trial Section (Judge Golden)",us-state,Illinois,standing-order,As posted (undated),2026-09-06,true,,https://ocj-web-files.s3.us-east-2.amazonaws.com/orders/Law%20-%20Courtroom%202309%20-%20Golden%20-%20Standing%20Order%20%28Aug%2012%2C%202024%29.pdf?VersionId=9sZ6uAI7IMiGGQPofIDu6mSR_YgtJmYr,,https://safelegalai.com/regulation/us-state/us-il-cook-golden-2024-courtroom-2309-ai-verification
us-il-cook-horan-2024-llm-caption-disclosure,"Standing Order, General Chancery Calendar 9","Circuit Court of Cook County, Chancery Division (Judge Horan)",us-state,Illinois,standing-order,As posted (undated),2026-09-06,true,,https://ocj-web-files.s3.us-east-2.amazonaws.com/orders/SO%202024%20CH%20Judge%20Horan%20Calendar%209%20Calendar%20Courtroom%20Procedures%20%28Apr.%205%202024%29.pdf?VersionId=bD2yzSkzx_owNaYWACofBcjjmOLSuHM7,,https://safelegalai.com/regulation/us-state/us-il-cook-horan-2024-llm-caption-disclosure
us-il-cook-seaton-2025-calendar-60-ai-policy,"Amended and Restated Standing Order, Calendar 60","Circuit Court of Cook County, Chancery Division, Mortgage Foreclosure/Mechanics Lien Section (Judge Seaton)",us-state,Illinois,standing-order,As posted (undated),2026-09-06,true,,https://ocj-web-files.s3.us-east-2.amazonaws.com/orders/Chancery%20-%20Calendar%2060%20-%20Judge%20Seaton%20-%20Standing%20Order%20%28eff.%20Feb.%2019%2C%202025%29.pdf?VersionId=Ibr6OItJ.1LuHyim4q4ICmAdsXbtUt4g,,https://safelegalai.com/regulation/us-state/us-il-cook-seaton-2025-calendar-60-ai-policy
us-il-cook-sullivan-2024-calendar-60-ai-disclosure,"Amended and Restated Standing Order, Calendar 60","Circuit Court of Cook County, Chancery Division, Mortgage Foreclosure/Mechanics Lien Section (Judge Sullivan)",us-state,Illinois,standing-order,As posted (undated),2026-09-06,true,,https://ocj-web-files.s3.us-east-2.amazonaws.com/orders/2024-09-03%20Standing%20Order%20-%20Calendar%2060.pdf?VersionId=YRDoJGoI.2Z31xJ_wHTxT7mAn75Dy.NG,,https://safelegalai.com/regulation/us-state/us-il-cook-sullivan-2024-calendar-60-ai-disclosure
us-il-cook-wright-2024-calendar-64-ai-disclosure,"Amended and Restated Standing Order, Calendar 64","Circuit Court of Cook County, Chancery Division, Mortgage Foreclosure/Mechanics Lien Section (Judge Wright)",us-state,Illinois,standing-order,As posted (undated),2026-09-06,true,,https://ocj-web-files.s3.us-east-2.amazonaws.com/orders/Chancery%20-%20Calendar%2064%20-%20Judge%20Wright%20-%20Amended%20Standing%20Order%20%28May%2031%202024%29_0.pdf?VersionId=8PBF.tc2_f6Vfc.eitTlZ_LoTUqjIS4v,,https://safelegalai.com/regulation/us-state/us-il-cook-wright-2024-calendar-64-ai-disclosure
us-ilnd-coleman-2026-ai-research-warning,Judge Sharon Johnson Coleman Requirements,Northern District of Illinois (Judge Coleman),us-federal,Illinois,standing-order,As posted (undated),2026-09-06,true,,https://www.ilnd.uscourts.gov/judge_display.php?LastName=Coleman,,https://safelegalai.com/regulation/us-federal/us-ilnd-coleman-2026-ai-research-warning
us-ilnd-johnston-2023-ai-rule-11-reminder,Artificial Intelligence (AI),Northern District of Illinois (Judge Johnston),us-federal,Illinois,standing-order,As posted (undated),2026-09-06,true,,https://www.ilnd.uscourts.gov/judge_display.php?LastName=Johnston,,https://safelegalai.com/regulation/us-federal/us-ilnd-johnston-2023-ai-rule-11-reminder
us-ilnd-valdez-2026-ai-sanctions-warning,Judge Maria Valdez Requirements,Northern District of Illinois (Judge Valdez),us-federal,Illinois,standing-order,As posted (undated),2026-09-06,true,,https://www.ilnd.uscourts.gov/judge_display.php?LastName=Valdez,,https://safelegalai.com/regulation/us-federal/us-ilnd-valdez-2026-ai-sanctions-warning
us-moed-court-ai-notice-responsibility,Artificial Intelligence Notice to Attorneys and Self-Represented Parties,Eastern District of Missouri,us-federal,Missouri,guidance,As posted (undated),2026-09-06,true,,https://www.moed.uscourts.gov/attorneys/artificial-intelligence,,https://safelegalai.com/regulation/us-federal/us-moed-court-ai-notice-responsibility
us-ned-court-2024-civil-genai-certificate,Nebraska Civil Rule 7.1(d) Generative Artificial Intelligence and Certificate of Compliance,District of Nebraska,us-federal,Nebraska,court-rule,As posted (undated),2026-09-06,true,,https://www.ned.uscourts.gov/internetDocs/localrules/NECivR.2024.pdf,,https://safelegalai.com/regulation/us-federal/us-ned-court-2024-civil-genai-certificate
us-nmd-strickland-generative-ai-disclosure-certification,Standing Order Establishing Disclosure and Certification Requirements for Generative AI,District of New Mexico (Judge Strickland),us-federal,New Mexico,standing-order,As posted (undated),2026-09-06,true,,https://www.nmd.uscourts.gov/sites/nmd/files/Standing%20Order%20Regarding%20Use%20of%20Generative%20AI.pdf,,https://safelegalai.com/regulation/us-federal/us-nmd-strickland-generative-ai-disclosure-certification
us-ny-supreme-castorina-2026-genai-motion-certification,Part 44 Matrimonial Division Rules: Artificial Intelligence Programs,"New York Supreme Court, New York County, Matrimonial Division (Judge Jr.)",us-state,New York,standing-order,As posted (undated),2026-09-06,true,,https://webfiles.nycourts.gov/public/2026-08/sfc-part-44-rules.pdf,,https://safelegalai.com/regulation/us-state/us-ny-supreme-castorina-2026-genai-motion-certification
us-ny-supreme-crawford-2026-ai-recording-ethics,Individual Part Rules: Artificial Intelligence,"New York Supreme Court, New York County, Civil Term (Judge Crawford)",us-state,New York,standing-order,As posted (undated),2026-09-06,true,,https://www.nycourts.gov/legacypdfs/courts/1jd/supctmanh/Rules/part38rules.pdf,,https://safelegalai.com/regulation/us-state/us-ny-supreme-crawford-2026-ai-recording-ethics
us-ny-supreme-frank-2026-genai-motion-certification,Part 11 Rules: Use of Artificial Intelligence Programs,"New York Supreme Court, New York County, Civil Term (Judge Frank)",us-state,New York,standing-order,As posted (undated),2026-09-06,true,,https://www.nycourts.gov/legacypdfs/courts/1jd/supctmanh/Rules/part11-rules.pdf,,https://safelegalai.com/regulation/us-state/us-ny-supreme-frank-2026-genai-motion-certification
us-ny-supreme-king-2026-ai-disclosure-certification,Part 6 Rules: The Use of Artificial Intelligence,"New York Supreme Court, New York County, Civil Term (Judge King)",us-state,New York,standing-order,As posted (undated),2026-09-06,true,,https://www.nycourts.gov/legacypdfs/courts/1jd/supctmanh/Rules/part6-rules.pdf,,https://safelegalai.com/regulation/us-state/us-ny-supreme-king-2026-ai-disclosure-certification
us-ny-supreme-lancman-2026-genai-disclosure-certification,Part 20 Rules: Use of Generative Artificial Intelligence,"New York Supreme Court, Queens County, Civil Term (Judge Lancman)",us-state,New York,standing-order,As posted (undated),2026-09-06,true,,https://webfiles.nycourts.gov/public/2026-01/part20.pdf,,https://safelegalai.com/regulation/us-state/us-ny-supreme-lancman-2026-genai-disclosure-certification
us-ny-supreme-waterman-marshall-2026-genai-motion-certification,IAS Part 31 Rules: Use of Artificial Intelligence in Filings,"New York Supreme Court, New York County (Judge Waterman-Marshall)",us-state,New York,standing-order,As posted (undated),2026-09-06,true,,https://www.nycourts.gov/legacypdfs/courts/1jd/supctmanh/Rules/part31rules.pdf,,https://safelegalai.com/regulation/us-state/us-ny-supreme-waterman-marshall-2026-genai-motion-certification
us-ny-surrogates-schopf-2025-ai-evidence-disclosure,Local Court Rules: Use of Artificial Intelligence,Saratoga County Surrogate’s Court / County Court (Judge Schopf),us-state,New York,standing-order,As posted (undated),2026-09-06,true,,https://www.nycourts.gov/LegacyPDFS/courts/4jd/Schopf-Rules.pdf,,https://safelegalai.com/regulation/us-state/us-ny-surrogates-schopf-2025-ai-evidence-disclosure
us-oh-williams-juvenile-2023-ai-notice-rule,"Juvenile Local Rule 1.4, Use of Technology","Williams County Court of Common Pleas, Juvenile Division",us-state,Ohio,court-rule,As posted (undated),2026-09-06,true,,https://www.williamscountyoh.gov/DocumentCenter/View/3736/JUVENILE-RULES--Williams-County-20256,,https://safelegalai.com/regulation/us-state/us-oh-williams-juvenile-2023-ai-notice-rule
us-oh-williams-probate-2023-ai-notice-rule,"Probate Local Rule 80, Use of Technology","Courts of Common Pleas, Probate Division, Defiance, Fulton, Henry, and Williams Counties",us-state,Ohio,court-rule,As posted (undated),2026-09-06,true,,https://iteam.williamscountyoh.gov/DocumentCenter/View/2745/Probate-Local-Rule-80-Use-of-Technology-effective-1212023,,https://safelegalai.com/regulation/us-state/us-oh-williams-probate-2023-ai-notice-rule
us-ohnd-boyko-2023-generative-ai-ban,Court’s Standing Order on the Use of Generative AI,Northern District of Ohio (Judge Boyko),us-federal,Ohio,standing-order,As posted (undated),2026-09-06,true,,https://www.ohnd.uscourts.gov/sites/ohnd/files/Boyko.StandingOrder.GenerativeAI.pdf,,https://safelegalai.com/regulation/us-federal/us-ohnd-boyko-2023-generative-ai-ban
us-or-appellate-2026-ai-fabricated-authority,Notice Regarding Court Imposition of Sanctions for Submission of Fabricated Authority Produced by AI,Oregon Court of Appeals,us-state,Oregon,guidance,As posted (undated),2026-09-06,true,,https://www.courts.oregon.gov/courts/appellate/rules/Documents/NoticeRegardingCourtImpositionOfSanctionsForSubmissionOfFabricatedAuthorityProducedByAI.pdf,,https://safelegalai.com/regulation/us-state/us-or-appellate-2026-ai-fabricated-authority
us-paed-cinquanto-2026-genai-disclosure-certification,Judge Goldner Cinquanto’s Policies and Procedures: Use of Generative Artificial Intelligence,Eastern District of Pennsylvania (Judge Cinquanto),us-federal,Pennsylvania,standing-order,As posted (undated),2026-09-06,true,,https://www.paed.uscourts.gov/sites/paed/files/documents/procedures/cgcpol.pdf,,https://safelegalai.com/regulation/us-federal/us-paed-cinquanto-2026-genai-disclosure-certification
us-pamd-camoni-2026-genai-certificate,Magistrate Judge Sean A. Camoni Page: Use of Generative AI,Middle District of Pennsylvania (Judge Camoni),us-federal,Pennsylvania,standing-order,As posted (undated),2026-09-06,true,,https://www.pamd.uscourts.gov/content/magistrate-judge-sean-camoni,,https://safelegalai.com/regulation/us-federal/us-pamd-camoni-2026-genai-certificate
us-pamd-caraballo-2025-genai-caution,Magistrate Judge Phillip Caraballo Page: Use of Generative AI,Middle District of Pennsylvania (Judge Caraballo),us-federal,Pennsylvania,standing-order,As posted (undated),2026-09-06,true,,https://www.pamd.uscourts.gov/content/magistrate-judge-phillip-caraballo,,https://safelegalai.com/regulation/us-federal/us-pamd-caraballo-2025-genai-caution
us-pamd-latella-2025-genai-certificate,Magistrate Judge Leo A. Latella Page: Use of Generative AI,Middle District of Pennsylvania (Judge Latella),us-federal,Pennsylvania,standing-order,As posted (undated),2026-09-06,true,,https://www.pamd.uscourts.gov/content/magistrate-judge-leo-latella,,https://safelegalai.com/regulation/us-federal/us-pamd-latella-2025-genai-certificate
us-pamd-mehalchick-2024-genai-certificate,Judge Karoline Mehalchick Page: Use of Generative AI,Middle District of Pennsylvania (Judge Mehalchick),us-federal,Pennsylvania,standing-order,As posted (undated),2026-09-06,true,,https://www.pamd.uscourts.gov/content/judge-karoline-mehalchick,,https://safelegalai.com/regulation/us-federal/us-pamd-mehalchick-2024-genai-certificate
us-wied-court-2026-pro-se-ai-warning,Representing Yourself,Eastern District of Wisconsin,us-federal,Wisconsin,guidance,As posted (undated),2026-09-06,true,,https://www.wied.uscourts.gov/representing-yourself,,https://safelegalai.com/regulation/us-federal/us-wied-court-2026-pro-se-ai-warning
us-cand-lin-2026-generative-ai-tools,Standing Order for Civil Cases Before Judge Rita F. Lin,Northern District of California (Judge Lin),us-federal,California,standing-order,Amended,2026-09-04,true,,https://www.cand.uscourts.gov/sites/default/files/standing-orders/RFL-Civil-Standing-Order-%282026-09-04%29_0.pdf,,https://safelegalai.com/regulation/us-federal/us-cand-lin-2026-generative-ai-tools
id-mahkamah-agung-letter-112-2026-ai-document-services,Letter No. 112/WKMA.Y/HK2.1/IX/2026: draft judgment-writing guidance and templates for the new Criminal Codes,Mahkamah Agung,other,,policy,Original,2026-09-02,true,,https://www.mahkamahagung.go.id/media/14915,,https://safelegalai.com/regulation/other/id-mahkamah-agung-letter-112-2026-ai-document-services
in-sc-vijay-gadiya-v-union-of-india-2026,"Vijay Ghanshyam Gadiya v Union of India, 2026 INSC 947",Supreme Court of India,india,,judgment-guidance,Judgment,2026-09-02,true,Original judgment (Datta and Nagu JJ).,https://api.sci.gov.in/supremecourt/2026/21991/21991_2026_7_1501_73957_Judgement_02-Sep-2026.pdf,,https://safelegalai.com/regulation/india/in-sc-vijay-gadiya-v-union-of-india-2026
lt-advokatura-ai-training-2026,"AI in the advocate's practice: opportunities, tools and safe use [DI advokato praktikoje: galimybės, įrankiai ir saugus naudojimas]",Lietuvos advokatūra,other,,policy,1.0,2026-09-01,true,"Announced 1 September 2026; full-day practical training held 9 September 2026 at the Advocates' House, Vilnius, organised by the Bar's IT and AI Committee with partners. Voluntary; advance registration and a personal laptop required.",https://www.advokatura.lt/naujienos/rugsejo-9-diena-mokymai-tema-di-advokato-praktikoje-galimybes-irankiai-ir-saugus-naudojimas1/,,https://safelegalai.com/regulation/other/lt-advokatura-ai-training-2026
us-gand-johnson-2026-ai-disclosure,Guidelines to Parties and Counsel in Civil Cases: Disclosure of Use of Artificial Intelligence,Northern District of Georgia (Judge Johnson),us-federal,Georgia,standing-order,As posted (undated),2026-09-01,true,,https://www.gand.uscourts.gov/sites/gand/files/TRJ_CVStandingOrder.pdf,,https://safelegalai.com/regulation/us-federal/us-gand-johnson-2026-ai-disclosure
us-vaed-lauck-2026-genai-certification,In re Local Civil Rule 7(E) and Artificial Intelligence,Eastern District of Virginia (Judge Lauck),us-federal,Virginia,standing-order,Original,2026-09-01,true,,https://www.vaed.uscourts.gov/sites/vaed/files/9.1.26_Local%20Civil%20Civil%20Rule%207%28E%29%20and%20Artificial%20Intelligence%20Standing%20Order_MHL.pdf,,https://safelegalai.com/regulation/us-federal/us-vaed-lauck-2026-genai-certification
us-cand-lee-2026-ai-certification,Standing Order for Civil Cases Before Judge Eumi K. Lee,Northern District of California (Judge Lee),us-federal,California,standing-order,Amended,2026-08-31,true,,https://www.cand.uscourts.gov/sites/default/files/standing-orders/EKL-CivilStandingOrder_8-31-2026.pdf,,https://safelegalai.com/regulation/us-federal/us-cand-lee-2026-ai-certification
jp-supreme-court-civil-trial-ai-pilot-2026,Supreme Court of Japan generative-AI demonstration for civil trials (FY2027 budget request),Supreme Court of Japan,other,,policy,Budget request announcement,2026-08-28,true,Announced FY2027 budget request for system development and a demonstration using settled-case records.,https://news.web.nhk/newsweb/na/nd-20260828de46923,,https://safelegalai.com/regulation/other/jp-supreme-court-civil-trial-ai-pilot-2026
tr-tbb-ai-guide-lawyers,Recommendation Guide on the Use of Artificial Intelligence for Lawyers [Avukatlar İçin Yapay Zekâ Kullanımı Tavsiye Rehberi],Türkiye Barolar Birliği (TBB),other,,guidance,"First edition, 2026",2026-08-28,true,"First national Turkish bar instrument on AI. Product of the TBB 'AI and Advocacy Workshop', Ankara, 14-15 February 2026. Foreword by TBB President R. Erinç Sağkan; presented by Commission spokesperson Dr Resul Göksoy.",https://d.barobirlik.org.tr/2026/yapayzekatavsiyerehberi.pdf,,https://safelegalai.com/regulation/other/tr-tbb-ai-guide-lawyers
vn-decision-1671-national-ai-strategy,"Decision No. 1671/QD-TTg approving the National Strategy on Artificial Intelligence to 2030, vision to 2045",Prime Minister of Vietnam,other,,policy,Signed,2026-08-28,true,Supersedes Decision No. 127/QD-TTg as Vietnam's national AI strategy.,https://vanban.chinhphu.vn/?pageid=27160&docid=219354,,https://safelegalai.com/regulation/other/vn-decision-1671-national-ai-strategy
us-tx-tarrant-criminal-courts-2026-local-rule-5-33-ai-filings,Tarrant County Criminal Local Rule 5.33: Use of Artificial Intelligence in Court Filings,Tarrant County Criminal Courts,us-state,Texas,court-rule,Original,2026-08-27,true,,https://topics.txcourts.gov/LocalRulesPublic/PreviewAttachment/3103,,https://safelegalai.com/regulation/us-state/us-tx-tarrant-criminal-courts-2026-local-rule-5-33-ai-filings
us-cand-martinezolguin-2026-ai-certification,Standing Order for Civil Cases Before District Judge Araceli Martínez-Olguín,Northern District of California (Judge Martínez-Olguín),us-federal,California,standing-order,Amended,2026-08-26,true,,https://www.cand.uscourts.gov/sites/default/files/standing-orders/AMO-CivilStandingOrder-8-26-2026.pdf,,https://safelegalai.com/regulation/us-federal/us-cand-martinezolguin-2026-ai-certification
us-tx-panola-county-courts-2026-ai-standing-order,Panola County Court at Law and County Court Standing Order Regarding Use of Artificial Intelligence,Panola County Court at Law and County Court (Judge McLane),us-state,Texas,standing-order,Original,2026-08-21,true,,https://topics.txcourts.gov/LocalRulesPublic/PreviewAttachment/3097,,https://safelegalai.com/regulation/us-state/us-tx-panola-county-courts-2026-ai-standing-order
sra-misuse-ai-warning-notice,Misuse of AI: Warning notice,SRA,uk,,guidance,Original,2026-08-17,true,,https://www.sra.org.uk/solicitors/guidance/misuse-ai/,,https://safelegalai.com/regulation/uk/sra-misuse-ai-warning-notice
us-nvd-couvillier-2026-ai-standing-order,Second Amended Standing Order and Chambers Practices,District of Nevada (Judge III),us-federal,Nevada,standing-order,Amended,2026-08-17,true,,https://www.nvd.uscourts.gov/wp-content/uploads/2025/10/2nd-Revised-FINAL-Standing-Order-081726-v8.pdf,,https://safelegalai.com/regulation/us-federal/us-nvd-couvillier-2026-ai-standing-order
us-ca-orange-knill-2026-ai-standing-order,Department C31 Standing Order Re: Artificial Intelligence,"Superior Court of California, County of Orange (Judge Knill)",us-state,California,standing-order,Amended,2026-08-10,true,,https://www.occourts.org/system/files?file=civil/knillprocedures.pdf,,https://safelegalai.com/regulation/us-state/us-ca-orange-knill-2026-ai-standing-order
us-ct-ai-legal-system-committee-final-report,"Connecticut Judicial Branch, Committee on Artificial Intelligence in the Connecticut Legal System: Final Report",Connecticut Judicial Branch,us-state,Connecticut,report,Final Report,2026-08-10,true,Final report of the committee,https://www.jud.ct.gov/committees/artificial_intelligence_CLS/FinalReport_R.pdf,,https://safelegalai.com/regulation/us-state/us-ct-ai-legal-system-committee-final-report
id-peradi-pedoman-ai-advokat,Guideline on the Use of Artificial Intelligence for Indonesian Advocates [Pedoman Penggunaan Kecerdasan Buatan],PERADI,other,,guidance,Original,2026-08-06,true,The guideline text itself is not published at an official URL; content is taken from PERADI's own announcement.,https://peradi.id/peradi-terbitkan-pedoman-etika-ai-pertama-di-indonesia-perkokoh-integritas-advokat-di-era-digital/,,https://safelegalai.com/regulation/other/id-peradi-pedoman-ai-advokat
us-mdd-court-2026-genai-filings,Standing Order 2026-03: Use of Generative Artificial Intelligence in Court Filings,District of Maryland (Judge III),us-federal,Maryland,standing-order,Original,2026-08-05,true,,https://www.mdd.uscourts.gov/sites/mdd/files/2026-03.pdf,,https://safelegalai.com/regulation/us-federal/us-mdd-court-2026-genai-filings
us-cacd-hwang-2026-criminal-ai-declaration,Standing Order for Criminal Cases Assigned to Judge Anne Hwang,Central District of California (Judge Hwang),us-federal,California,standing-order,Amended,2026-08-03,true,,https://apps.cacd.uscourts.gov/JpsApi/file/31cc96b2-e7e3-49d2-b095-08def1b8c688,,https://safelegalai.com/regulation/us-federal/us-cacd-hwang-2026-criminal-ai-declaration
us-gand-jones-2026-ai-disclosure,Instructions for Cases Assigned to the Honorable Steve C. Jones: Disclosure of Use of Artificial Intelligence,Northern District of Georgia (Judge Jones),us-federal,Georgia,standing-order,As posted (undated),2026-08-01,true,,https://www.gand.uscourts.gov/sites/gand/files/SCJ%20Standing%20Case%20Instructions.pdf,,https://safelegalai.com/regulation/us-federal/us-gand-jones-2026-ai-disclosure
us-txsd-marmolejo-2026-criminal-generative-ai-procedures,Judge Marina Garcia Marmolejo Criminal Court Procedures Section 7,Southern District of Texas (Judge Marmolejo),us-federal,Texas,standing-order,Original,2026-08-01,true,,https://www.txs.uscourts.gov/sites/txs/files/Crim_MGM_August%202026.pdf,,https://safelegalai.com/regulation/us-federal/us-txsd-marmolejo-2026-criminal-generative-ai-procedures
